ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-30,-27025020.15778335,34624522.68514996,54107793.0585306,-27025020.15778335,-27025020.15778335,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,0.0,0.0,0.0,44196527.30155187
2015-09-30,-27031951.258501954,52943222.13698791,72708391.91723464,-27031951.258501954,-27031951.258501954,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,0.0,0.0,0.0,62973659.60575282
2015-12-31,-27038882.359843925,50354605.28151457,69925738.04450141,-27038882.359843925,-27038882.359843925,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,0.0,0.0,0.0,59831403.81681046
2016-03-31,-27045738.122857474,52898169.960672535,72709260.76813741,-27045738.122857474,-27045738.122857474,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,0.0,0.0,0.0,62494037.93141482
2016-06-30,-27052593.88587102,47945305.68063209,67750717.54654054,-27052593.88587102,-27052593.88587102,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,0.0,0.0,0.0,58314568.85988012
2016-09-30,-27059524.986725457,53158401.86202122,72522234.35128397,-27059524.986725457,-27059524.986725457,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,0.0,0.0,0.0,62808597.77982957
2016-12-31,-27066456.087403208,50176040.31410055,69786542.33101326,-27066456.087403208,-27066456.087403208,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,0.0,0.0,0.0,60534369.02606806
2017-03-31,-27073236.511842202,53024265.367915735,71973887.27423744,-27073236.511842202,-27073236.511842202,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,0.0,0.0,0.0,62532822.80341737
2017-06-30,-27080092.2739524,44187596.54405184,63764000.44136103,-27080092.2739524,-27080092.2739524,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,0.0,0.0,0.0,54135199.29190083
2017-09-30,-27087023.374107756,53070723.79877493,72117046.57229452,-27087023.374107756,-27087023.374107756,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,0.0,0.0,0.0,62749660.47063262
