ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-30,-27025020.15778335,34410336.749493256,53275313.967806205,-27025020.15778335,-27025020.15778335,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,0.0,0.0,0.0,44196527.30155187
2015-09-30,-27031951.258501954,53201536.50152124,72343096.65615162,-27031951.258501954,-27031951.258501954,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,0.0,0.0,0.0,62973659.60575282
2015-12-31,-27038882.359843925,49718997.65720678,68821250.03904659,-27038882.359843925,-27038882.359843925,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,0.0,0.0,0.0,59831403.81681046
2016-03-31,-27045738.122857474,53125901.66057265,72506409.90914224,-27045738.122857474,-27045738.122857474,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,0.0,0.0,0.0,62494037.93141482
2016-06-30,-27052593.88587102,48054067.03165468,68280980.37436111,-27052593.88587102,-27052593.88587102,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,0.0,0.0,0.0,58314568.85988012
2016-09-30,-27059524.986725457,52704487.7274976,72414565.34190461,-27059524.986725457,-27059524.986725457,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,0.0,0.0,0.0,62808597.77982957
2016-12-31,-27066456.087403208,50623265.43231216,70297356.49535626,-27066456.087403208,-27066456.087403208,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,0.0,0.0,0.0,60534369.02606806
2017-03-31,-27073236.511842202,53064581.49189163,72076007.38969994,-27073236.511842202,-27073236.511842202,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,0.0,0.0,0.0,62532822.80341737
2017-06-30,-27080092.2739524,44216783.56848418,63523609.04335149,-27080092.2739524,-27080092.2739524,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,0.0,0.0,0.0,54135199.29190083
2017-09-30,-27087023.374107756,53637873.80678791,72007761.1463895,-27087023.374107756,-27087023.374107756,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,0.0,0.0,0.0,62749660.47063262
