ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-23,669231.353314623,660886.191873078,745328.4329837259,669231.353314623,669231.353314623,34379.52928791428,34379.52928791428,34379.52928791428,30976.365840426435,30976.365840426435,30976.365840426435,3403.1634474878424,3403.1634474878424,3403.1634474878424,0.0,0.0,0.0,703610.8826025373
2015-06-24,669262.9869148744,665679.4521503367,748873.4299512524,669262.9869148744,669262.9869148744,37837.77584377618,37837.77584377618,37837.77584377618,33161.68636379736,33161.68636379736,33161.68636379736,4676.0894799788275,4676.0894799788275,4676.0894799788275,0.0,0.0,0.0,707100.7627586506
2015-06-25,669294.6205151258,664762.7982701827,748998.7592056468,669294.6205151258,669294.6205151258,37992.1479581339,37992.1479581339,37992.1479581339,31942.905956841343,31942.905956841343,31942.905956841343,6049.242001292554,6049.242001292554,6049.242001292554,0.0,0.0,0.0,707286.7684732598
2015-06-26,669326.2541153772,658688.801476955,742287.9137998946,669326.2541153772,669326.2541153772,30867.55703158876,30867.55703158876,30867.55703158876,23317.673015923825,23317.673015923825,23317.673015923825,7549.8840156649285,7549.8840156649285,7549.8840156649285,0.0,0.0,0.0,700193.811146966
2015-06-27,669357.8877156286,591774.441448698,674228.5021334491,669357.8877156286,669357.8877156286,-37760.9099693691,-37760.9099693691,-37760.9099693691,-46963.303127829764,-46963.303127829764,-46963.303127829764,9202.393158460656,9202.393158460656,9202.393158460656,0.0,0.0,0.0,631596.9777462595
2015-06-28,669389.52131588,550564.1442041699,635069.9202919467,669389.52131588,669389.52131588,-76028.84580776075,-76028.84580776075,-76028.84580776075,-87056.15761388576,-87056.15761388576,-87056.15761388576,11027.311806125022,11027.311806125022,11027.311806125022,0.0,0.0,0.0,593360.6755081193
2015-06-29,669421.1549161313,655789.1667435868,739568.2101252706,669421.1549161313,669421.1549161313,27661.312972822445,27661.312972822445,27661.312972822445,14620.829564640575,14620.829564640575,14620.829564640575,13040.483408181874,13040.483408181874,13040.483408181874,0.0,0.0,0.0,697082.4678889537
2015-06-30,669452.7885163828,672695.7310281837,758655.4941675566,669452.7885163828,669452.7885163828,46228.667998280594,46228.667998280594,46228.667998280594,30976.365840439532,30976.365840439532,30976.365840439532,15252.302157841073,15252.302157841073,15252.302157841073,0.0,0.0,0.0,715681.4565146634
2015-07-01,669484.4221166341,673658.8489864339,764210.0393176011,669484.4221166341,669484.4221166341,50828.78658399191,50828.78658399191,50828.78658399191,33161.68636377401,33161.68636377401,33161.68636377401,17667.100220217908,17667.100220217908,17667.100220217908,0.0,0.0,0.0,720313.208700626
2015-07-02,669516.0557168855,681531.9602438479,763634.8228291114,669516.0557168855,669516.0557168855,52225.59906509265,52225.59906509265,52225.59906509265,31942.905956788196,31942.905956788196,31942.905956788196,20282.693108304455,20282.693108304455,20282.693108304455,0.0,0.0,0.0,721741.6547819781
2015-07-03,669547.6893171369,675766.2505812779,759052.4380980885,669547.6893171369,669547.6893171369,46407.77255271625,46407.77255271625,46407.77255271625,23317.673015863467,23317.673015863467,23317.673015863467,23090.099536852777,23090.099536852777,23090.099536852777,0.0,0.0,0.0,715955.4618698531
2015-07-04,669579.3229173883,605337.7934622559,690507.6651897262,669579.3229173883,669579.3229173883,-20889.855816010324,-20889.855816010324,-20889.855816010324,-46963.30312763708,-46963.30312763708,-46963.30312763708,26073.447311626755,26073.447311626755,26073.447311626755,0.0,0.0,0.0,648689.467101378
2015-07-05,669610.9565176397,569121.8548634562,656363.964783632,669610.9565176397,669610.9565176397,-57846.08595271897,-57846.08595271897,-57846.08595271897,-87056.15761386452,-87056.15761386452,-87056.15761386452,29210.071661145532,29210.071661145532,29210.071661145532,0.0,0.0,0.0,611764.8705649207
2015-07-06,669642.5901178911,675242.96120739,757322.1253991891,669642.5901178911,669642.5901178911,47091.636600218466,47091.636600218466,47091.636600218466,14620.82956469635,14620.82956469635,14620.82956469635,32470.807035522113,32470.807035522113,32470.807035522113,0.0,0.0,0.0,716734.2267181096
2015-07-07,669674.2237181425,692836.4847126511,777966.5194444823,669674.2237181425,669674.2237181425,66796.83377673381,66796.83377673381,66796.83377673381,30976.365840444305,30976.365840444305,30976.365840444305,35820.4679362895,35820.4679362895,35820.4679362895,0.0,0.0,0.0,736471.0574948763
2015-07-08,669705.8573183939,701269.5838909849,789118.7936275208,669705.8573183939,669705.8573183939,72380.19532105443,72380.19532105443,72380.19532105443,33161.68636381865,33161.68636381865,33161.68636381865,39218.50895723578,39218.50895723578,39218.50895723578,0.0,0.0,0.0,742086.0526394483
2015-07-09,669737.4909186453,703949.0743485051,786975.0609772321,669737.4909186453,669737.4909186453,74562.75502192983,74562.75502192983,74562.75502192983,31942.90595678194,31942.90595678194,31942.90595678194,42619.84906514789,42619.84906514789,42619.84906514789,0.0,0.0,0.0,744300.2459405751
2015-07-10,669769.1245188966,695860.0872092755,781643.182360126,669769.1245188966,669769.1245188966,69293.51339475877,69293.51339475877,69293.51339475877,23317.67301591223,23317.67301591223,23317.67301591223,45975.84037884654,45975.84037884654,45975.84037884654,0.0,0.0,0.0,739062.6379136554
2015-07-11,669800.7581191481,628821.1536341053,714640.9977716,669800.7581191481,669800.7581191481,2272.054325136965,2272.054325136965,2272.054325136965,-46963.30312775244,-46963.30312775244,-46963.30312775244,49235.3574528894,49235.3574528894,49235.3574528894,0.0,0.0,0.0,672072.812444285
2015-07-12,669832.3917193994,592700.5003171335,677316.9635488482,669832.3917193994,669832.3917193994,-34710.17815103194,-34710.17815103194,-34710.17815103194,-87056.15761384323,-87056.15761384323,-87056.15761384323,52345.97946281129,52345.97946281129,52345.97946281129,0.0,0.0,0.0,635122.2135683674
2015-07-13,669864.0253196508,694751.7250861025,782297.3229469351,669864.0253196508,669864.0253196508,69876.06439205231,69876.06439205231,69876.06439205231,14620.829564752128,14620.829564752128,14620.829564752128,55255.234827300184,55255.234827300184,55255.234827300184,0.0,0.0,0.0,739740.0897117031
2015-07-14,669895.6589199022,711719.5755703625,802710.4486552257,669895.6589199022,669895.6589199022,88888.2416144705,88888.2416144705,88888.2416144705,30976.365840423143,30976.365840423143,30976.365840423143,57911.87577404735,57911.87577404735,57911.87577404735,0.0,0.0,0.0,758783.9005343727
2015-07-15,669927.2925201536,720277.589432306,804027.9795950301,669927.2925201536,669927.2925201536,93428.83558379236,93428.83558379236,93428.83558379236,33161.68636374898,33161.68636374898,33161.68636374898,60267.14922004337,60267.14922004337,60267.14922004337,0.0,0.0,0.0,763356.1281039459
