ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-30,-28439068.408041973,56871946.38017415,111921483.84895933,-28439068.408041973,-28439068.408041973,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,0.0,0.0,0.0,84993701.43306999
2015-12-31,-27751682.78527979,89270041.2512975,145028846.81099617,-27751682.78527979,-27751682.78527979,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,0.0,0.0,0.0,116778592.85976078
2016-06-30,-27071768.745705202,90563408.88956876,146066010.18147188,-27071768.745705202,-27071768.745705202,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,0.0,0.0,0.0,117861463.9610215
2016-12-31,-26384383.12223529,88927099.55070135,144844520.17855564,-26384383.12223529,-26384383.12223529,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,0.0,0.0,0.0,117720100.52432188
2017-06-30,-25708204.87286972,79775685.84711161,136129485.9765829,-25708204.87286972,-25708204.87286972,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,0.0,0.0,0.0,109414041.13011344
2017-12-31,-25020819.250521746,91714682.25198796,149823529.86188942,-25020819.250521746,-25020819.250521746,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,0.0,0.0,0.0,119467157.52244198
2018-06-30,-24344641.001821425,73750062.52702133,128675347.81718294,-24344641.001821425,-24344641.001821425,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,0.0,0.0,0.0,100273206.78814815
2018-12-31,-23657255.38138953,93057092.14532901,149716997.35278377,-23657255.38138953,-23657255.38138953,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,0.0,0.0,0.0,120972646.53747013
2019-06-30,-22981077.141043793,60120051.79464551,117842745.62566324,-22981077.141043793,-22981077.141043793,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,0.0,0.0,0.0,90451692.70015989
2019-12-31,-22293691.523717158,97077269.46368217,148992999.47479028,-22293691.523717158,-22293691.523717158,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,0.0,0.0,0.0,122236584.12131149
2020-06-30,-21613777.495138437,95985770.82512794,151051494.07977995,-21613777.495138437,-21613777.495138437,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,0.0,0.0,0.0,123319455.21162942
2020-12-31,-20926391.883634184,94768464.52626391,152167273.25711018,-20926391.883634184,-20926391.883634184,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,0.0,0.0,0.0,123178091.76293024
2021-06-30,-20250213.649425842,85873772.35179672,145236491.3178335,-20250213.649425842,-20250213.649425842,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,0.0,0.0,0.0,114872032.35350499
2021-12-31,-19562828.0376105,97485792.95901597,153238359.7220644,-19562828.0376105,-19562828.0376105,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,0.0,0.0,0.0,124925148.7353706
2022-06-30,-18886649.804895863,77414212.32409509,133444154.24869967,-18886649.804895863,-18886649.804895863,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,0.0,0.0,0.0,105731197.98502238
2022-12-31,-18199264.19435722,97843509.89213505,154094904.83555397,-18199264.19435722,-18199264.19435722,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,0.0,0.0,0.0,126430637.72448283
2023-06-30,-17523661.905977856,69190481.12308072,124213601.87552156,-17523661.905977856,-17523661.905977856,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,0.0,0.0,0.0,95909107.93511985
2023-12-31,-16836861.789614305,98440752.84363736,153566527.2325932,-16836861.789614305,-16836861.789614305,144530275.645053,144530275.645053,144530275.645053,144530275.645053,144530275.645053,144530275.645053,0.0,0.0,0.0,127693413.8554387
2024-06-30,-16157526.89190688,100960293.38471642,155099973.24332586,-16157526.89190688,-16157526.89190688,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,0.0,0.0,0.0,128775705.81480461
2024-12-31,-15470726.775543328,100758666.65627746,155169281.15315044,-15470726.775543328,-15470726.775543328,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,0.0,0.0,0.0,128633756.871003
2025-06-30,-14795124.487163968,91062178.2868091,147522009.60956404,-14795124.487163968,-14795124.487163968,135122246.0029693,135122246.0029693,135122246.0029693,135122246.0029693,135122246.0029693,135122246.0029693,0.0,0.0,0.0,120327121.51580533
2025-12-31,-14108324.370800417,102975720.1581639,158692403.7878173,-14108348.74372733,-14108296.099072775,144487976.7729579,144487976.7729579,144487976.7729579,144487976.7729579,144487976.7729579,144487976.7729579,0.0,0.0,0.0,130379652.40215747
2026-06-30,-13432722.082421055,81869614.63871026,137894635.79373452,-13432804.959061775,-13432634.474488001,124617847.7899664,124617847.7899664,124617847.7899664,124617847.7899664,124617847.7899664,124617847.7899664,0.0,0.0,0.0,111185125.70754535
2026-12-31,-12745921.966057505,105895244.73295473,160351499.48975524,-12746080.59665762,-12745755.892333252,144629901.91884163,144629901.91884163,144629901.91884163,144629901.91884163,144629901.91884163,144629901.91884163,0.0,0.0,0.0,131883979.95278412
2027-06-30,-12070319.677678142,75858348.57280801,131550582.9129413,-12070578.96700052,-12070054.347492348,113432769.84120886,113432769.84120886,113432769.84120886,113432769.84120886,113432769.84120886,113432769.84120886,0.0,0.0,0.0,101362450.16353072
2027-12-31,-11383519.56131459,105422852.32880932,159461759.45882943,-11383892.79768667,-11383152.021335412,144530275.64503354,144530275.64503354,144530275.64503354,144530275.64503354,144530275.64503354,144530275.64503354,0.0,0.0,0.0,133146756.08371896
2028-06-30,-10704184.663607165,106185493.38879435,162785170.6873087,-10704663.756766748,-10703706.344183361,144933232.70677823,144933232.70677823,144933232.70677823,144933232.70677823,144933232.70677823,144933232.70677823,0.0,0.0,0.0,134229048.04317105
2028-12-31,-10017384.547243616,105897392.57102363,162170160.92574802,-10017971.347487103,-10016784.673344716,144104483.6465653,144104483.6465653,144104483.6465653,144104483.6465653,144104483.6465653,144104483.6465653,0.0,0.0,0.0,134087099.09932168
2029-06-30,-9341782.258864252,96658614.34240668,153019591.97258446,-9342519.869578581,-9341056.663638141,135122246.00287536,135122246.00287536,135122246.00287536,135122246.00287536,135122246.00287536,135122246.00287536,0.0,0.0,0.0,125780463.7440111
2029-12-31,-8654982.1425007,107395775.5003814,162687323.52880055,-8655872.332842808,-8654080.38911985,144487976.7729797,144487976.7729797,144487976.7729797,144487976.7729797,144487976.7729797,144487976.7729797,0.0,0.0,0.0,135832994.630479
2030-06-30,-7979379.854121341,91499057.17953067,145225800.93065867,-7980422.063700167,-7978318.662212847,124617847.78991498,124617847.78991498,124617847.78991498,124617847.78991498,124617847.78991498,124617847.78991498,0.0,0.0,0.0,116638467.93579364
2030-12-31,-7292579.73775779,109366616.78282207,164974936.6130737,-7293781.126861022,-7291323.303534455,144629901.9188465,144629901.9188465,144629901.9188465,144629901.9188465,144629901.9188465,144629901.9188465,0.0,0.0,0.0,137337322.1810887
2031-06-30,-6616977.449378427,80684742.06568065,133393239.9660819,-6618358.602992811,-6615530.884330354,113432769.84119809,113432769.84119809,113432769.84119809,113432769.84119809,113432769.84119809,113432769.84119809,0.0,0.0,0.0,106815792.39181966
2031-12-31,-5930177.333014876,111671968.23977548,168200089.1254325,-5931705.893967692,-5928521.878163093,144530275.64504611,144530275.64504611,144530275.64504611,144530275.64504611,144530275.64504611,144530275.64504611,0.0,0.0,0.0,138600098.31203124
2032-06-30,-5250842.435307455,112823843.5767432,167080788.07099864,-5252557.256945651,-5248994.382188405,144933232.70665285,144933232.70665285,144933232.70665285,144933232.70665285,144933232.70665285,144933232.70665285,0.0,0.0,0.0,139682390.2713454
2032-12-31,-4564042.318943904,110864931.09100291,164479718.37951306,-4565908.105633246,-4562043.511966264,144104483.64658153,144104483.64658153,144104483.64658153,144104483.64658153,144104483.64658153,144104483.64658153,0.0,0.0,0.0,139540441.3276376
2033-06-30,-3888440.030564541,103045039.4428552,157389668.41614446,-3890533.5209334013,-3886266.316293174,135122246.00291955,135122246.00291955,135122246.00291955,135122246.00291955,135122246.00291955,135122246.00291955,0.0,0.0,0.0,131233805.97235501
2033-12-31,-3201639.9142009895,113993045.39874141,168923048.25022414,-3203943.5064311693,-3199264.562578023,144487976.77296898,144487976.77296898,144487976.77296898,144487976.77296898,144487976.77296898,144487976.77296898,0.0,0.0,0.0,141286336.858768
2034-06-30,-2526037.6258216267,93948266.46657638,149751209.50527805,-2528570.648910374,-2523451.0950144315,124617847.78996964,124617847.78996964,124617847.78996964,124617847.78996964,124617847.78996964,124617847.78996964,0.0,0.0,0.0,122091810.16414802
2034-12-31,-1839237.5094580755,115174147.46500821,168536773.44815618,-1842040.3125454208,-1836442.8854281919,144629901.91883576,144629901.91883576,144629901.91883576,144629901.91883576,144629901.91883576,144629901.91883576,0.0,0.0,0.0,142790664.4093777
2035-06-30,-1163635.221078716,84648528.87574632,140233511.754302,-1166691.197681003,-1160599.9054052026,113432769.84103988,113432769.84103988,113432769.84103988,113432769.84103988,113432769.84103988,113432769.84103988,0.0,0.0,0.0,112269134.61996117
2035-12-31,-476835.104715165,117361993.77219823,172059248.24258158,-480118.90400818735,-473570.1134132017,144530275.64503956,144530275.64503956,144530275.64503956,144530275.64503956,144530275.64503956,144530275.64503956,0.0,0.0,0.0,144053440.5403244
2036-06-30,202499.7929922631,115766805.33994876,171204057.699849,198943.43717690292,205990.41305490662,144933232.70666406,144933232.70666406,144933232.70666406,144933232.70666406,144933232.70666406,144933232.70666406,0.0,0.0,0.0,145135732.49965632
2036-12-31,889299.9093558107,116041239.01501395,173785983.1711062,885503.404159323,893021.2312851547,144104483.64656556,144104483.64656556,144104483.64656556,144104483.64656556,144104483.64656556,144104483.64656556,0.0,0.0,0.0,144993783.55592138
2037-06-30,1564902.1977351736,109199313.04393302,164818294.9168998,1560827.5179844606,1568842.611589566,135122246.0029732,135122246.0029732,135122246.0029732,135122246.0029732,135122246.0029732,135122246.0029732,0.0,0.0,0.0,136687148.20070836
2037-12-31,2251702.3140987214,120558919.56778991,174797544.77615505,2247331.5808301335,2255847.8703170675,144487976.77297458,144487976.77297458,144487976.77297458,144487976.77297458,144487976.77297458,144487976.77297458,0.0,0.0,0.0,146739679.0870733
2038-06-30,2927304.602478088,100865837.1070582,155250202.7401106,2922621.424150915,2931725.6051168707,124617847.7898313,124617847.7898313,124617847.7898313,124617847.7898313,124617847.7898313,124617847.7898313,0.0,0.0,0.0,127545152.39230938
2038-12-31,3614104.718841632,120651672.22595476,175248251.3844767,3609127.554119358,3618819.0175588825,144629901.91884378,144629901.91884378,144629901.91884378,144629901.91884378,144629901.91884378,144629901.91884378,0.0,0.0,0.0,148244006.63768542
2039-06-30,4289707.007221002,89656122.52241534,146291086.47908953,4284489.191301387,4294773.386313411,113432769.84119242,113432769.84119242,113432769.84119242,113432769.84119242,113432769.84119242,113432769.84119242,0.0,0.0,0.0,117722476.84841342
2039-12-31,4976507.123584546,122053299.20283122,176950892.0540601,4971000.263228152,4981844.458832211,144530275.6450427,144530275.6450427,144530275.6450427,144530275.6450427,144530275.6450427,144530275.6450427,0.0,0.0,0.0,149506782.76862723
2040-06-30,5655842.021291974,122897209.38410853,179379792.92507133,5650009.365513956,5661455.3798960475,144933232.70676062,144933232.70676062,144933232.70676062,144933232.70676062,144933232.70676062,144933232.70676062,0.0,0.0,0.0,150589074.7280526
2040-12-31,6342642.1376555255,122588758.42452097,177371808.4838086,6336522.105398312,6348532.827121054,144104483.6465683,144104483.6465683,144104483.6465683,144104483.6465683,144104483.6465683,144104483.6465683,0.0,0.0,0.0,150447125.78422382
2041-06-30,7018244.426034888,115762607.50719407,170986510.3840931,7011845.514668179,7024465.330336948,135122246.0028582,135122246.0028582,135122246.0028582,135122246.0028582,135122246.0028582,135122246.0028582,0.0,0.0,0.0,142140490.4288931
2041-12-31,7705044.54239844,124656867.87685557,180402808.82481286,7698422.788537063,7711594.235037414,144487976.7729953,144487976.7729953,144487976.7729953,144487976.7729953,144487976.7729953,144487976.7729953,0.0,0.0,0.0,152193021.31539375
2042-06-30,8380646.8307778025,104975526.29196188,160474471.6275014,8373669.502078196,8387471.641247786,124617847.78991191,124617847.78991191,124617847.78991191,124617847.78991191,124617847.78991191,124617847.78991191,0.0,0.0,0.0,132998494.62068972
