ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-12-31,7685664.395845595,161107659.99034646,280036421.6200941,7685664.395845595,7685664.395845595,213898455.36603776,213898455.36603776,213898455.36603776,213898455.36603776,213898455.36603776,213898455.36603776,0.0,0.0,0.0,221584119.76188335
2016-12-31,4638275.360599221,185050725.91612506,306084510.66695464,4638275.360599221,4638275.360599221,240410654.33954293,240410654.33954293,240410654.33954293,240410654.33954293,240410654.33954293,240410654.33954293,0.0,0.0,0.0,245048929.70014215
2017-12-31,1599212.5258511892,173006495.69181487,288680159.77674663,1599212.5258511892,1599212.5258511892,231707290.08290148,231707290.08290148,231707290.08290148,231707290.08290148,231707290.08290148,231707290.08290148,0.0,0.0,0.0,233306502.60875267
2018-12-31,-1439850.3084505736,161906390.93839094,279958971.7505429,-1439850.3084505736,-1439850.3084505736,222866342.95959747,222866342.95959747,222866342.95959747,222866342.95959747,222866342.95959747,222866342.95959747,0.0,0.0,0.0,221426492.6511469
2019-12-31,-4478913.140810704,151402681.84683093,270357822.3296495,-4478913.140810704,-4478913.140810704,213898455.3661087,213898455.3661087,213898455.3661087,213898455.3661087,213898455.3661087,213898455.3661087,0.0,0.0,0.0,209419542.225298
2020-12-31,-7526302.1725385245,170925769.45710063,293158440.5810581,-7526302.1725385245,-7526302.1725385245,240410654.3394807,240410654.3394807,240410654.3394807,240410654.3394807,240410654.3394807,240410654.3394807,0.0,0.0,0.0,232884352.16694218
2021-12-31,-10565365.00608973,162957778.88150263,279058204.77809995,-10565365.00608973,-10565365.00608973,231707290.08292347,231707290.08292347,231707290.08292347,231707290.08292347,231707290.08292347,231707290.08292347,0.0,0.0,0.0,221141925.07683375
2022-12-31,-13604427.842025207,149700283.9847501,269718497.5340496,-13604427.842025207,-13604427.842025207,222866342.95962036,222866342.95962036,222866342.95962036,222866342.95962036,222866342.95962036,222866342.95962036,0.0,0.0,0.0,209261915.11759514
2023-12-31,-16643490.679301547,145182522.26399747,255844118.83918807,-16643490.679301547,-16643490.679301547,213898455.36607045,213898455.36607045,213898455.36607045,213898455.36607045,213898455.36607045,213898455.36607045,0.0,0.0,0.0,197254964.6867689
2024-12-31,-19690879.716132067,159551888.63057637,282236968.3899446,-19690879.716132067,-19690879.716132067,240410654.3395704,240410654.3395704,240410654.3395704,240410654.3395704,240410654.3395704,240410654.3395704,0.0,0.0,0.0,220719774.62343833
2025-12-31,-22729942.553408407,147531983.35135087,264440757.62125123,-22729942.553408407,-22729942.553408407,231707290.08289862,231707290.08289862,231707290.08289862,231707290.08289862,231707290.08289862,231707290.08289862,0.0,0.0,0.0,208977347.5294902
