ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-23,669231.353314623,662954.9885592858,744226.6225832928,669231.353314623,669231.353314623,34379.52928791428,34379.52928791428,34379.52928791428,30976.365840426435,30976.365840426435,30976.365840426435,3403.1634474878424,3403.1634474878424,3403.1634474878424,0.0,0.0,0.0,703610.8826025373
2015-06-24,669262.9869148744,666651.6492212394,747955.5251985664,669262.9869148744,669262.9869148744,37837.77584377618,37837.77584377618,37837.77584377618,33161.68636379736,33161.68636379736,33161.68636379736,4676.0894799788275,4676.0894799788275,4676.0894799788275,0.0,0.0,0.0,707100.7627586506
2015-06-25,669294.6205151258,666039.1409291767,748810.8443736855,669294.6205151258,669294.6205151258,37992.1479581339,37992.1479581339,37992.1479581339,31942.905956841343,31942.905956841343,31942.905956841343,6049.242001292554,6049.242001292554,6049.242001292554,0.0,0.0,0.0,707286.7684732598
2015-06-26,669326.2541153772,653421.1687920789,741676.4681712606,669326.2541153772,669326.2541153772,30867.55703158876,30867.55703158876,30867.55703158876,23317.673015923825,23317.673015923825,23317.673015923825,7549.8840156649285,7549.8840156649285,7549.8840156649285,0.0,0.0,0.0,700193.811146966
2015-06-27,669357.8877156286,590722.414690589,676811.0204264546,669357.8877156286,669357.8877156286,-37760.9099693691,-37760.9099693691,-37760.9099693691,-46963.303127829764,-46963.303127829764,-46963.303127829764,9202.393158460656,9202.393158460656,9202.393158460656,0.0,0.0,0.0,631596.9777462595
2015-06-28,669389.52131588,553727.1528544002,633635.6876743148,669389.52131588,669389.52131588,-76028.84580776075,-76028.84580776075,-76028.84580776075,-87056.15761388576,-87056.15761388576,-87056.15761388576,11027.311806125022,11027.311806125022,11027.311806125022,0.0,0.0,0.0,593360.6755081193
2015-06-29,669421.1549161313,654755.8441300924,740835.002432216,669421.1549161313,669421.1549161313,27661.312972822445,27661.312972822445,27661.312972822445,14620.829564640575,14620.829564640575,14620.829564640575,13040.483408181874,13040.483408181874,13040.483408181874,0.0,0.0,0.0,697082.4678889537
2015-06-30,669452.7885163828,672470.1594382013,756972.9105158149,669452.7885163828,669452.7885163828,46228.667998280594,46228.667998280594,46228.667998280594,30976.365840439532,30976.365840439532,30976.365840439532,15252.302157841073,15252.302157841073,15252.302157841073,0.0,0.0,0.0,715681.4565146634
2015-07-01,669484.4221166341,677779.6811158322,762923.2571811739,669484.4221166341,669484.4221166341,50828.78658399191,50828.78658399191,50828.78658399191,33161.68636377401,33161.68636377401,33161.68636377401,17667.100220217908,17667.100220217908,17667.100220217908,0.0,0.0,0.0,720313.208700626
2015-07-02,669516.0557168855,677624.7608702073,763289.7218978881,669516.0557168855,669516.0557168855,52225.59906509265,52225.59906509265,52225.59906509265,31942.905956788196,31942.905956788196,31942.905956788196,20282.693108304455,20282.693108304455,20282.693108304455,0.0,0.0,0.0,721741.6547819781
