ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-30,-28439068.408041973,58731095.55767862,110660345.66030285,-28439068.408041973,-28439068.408041973,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,0.0,0.0,0.0,84993701.43306999
2015-12-31,-27751682.78527979,89736384.56110995,145522028.66962025,-27751682.78527979,-27751682.78527979,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,0.0,0.0,0.0,116778592.85976078
2016-06-30,-27071768.745705202,90406926.76168786,145799435.3581753,-27071768.745705202,-27071768.745705202,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,0.0,0.0,0.0,117861463.9610215
2016-12-31,-26384383.12223529,89493616.46594079,143698437.96311167,-26384383.12223529,-26384383.12223529,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,0.0,0.0,0.0,117720100.52432188
2017-06-30,-25708204.87286972,82602331.15067063,138763726.66280416,-25708204.87286972,-25708204.87286972,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,0.0,0.0,0.0,109414041.13011344
2017-12-31,-25020819.250521746,92884423.51450688,148066276.58564073,-25020819.250521746,-25020819.250521746,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,0.0,0.0,0.0,119467157.52244198
2018-06-30,-24344641.001821425,73666265.53792101,127305593.6856147,-24344641.001821425,-24344641.001821425,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,0.0,0.0,0.0,100273206.78814815
2018-12-31,-23657255.38138953,91999422.76872224,149446554.0317458,-23657255.38138953,-23657255.38138953,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,0.0,0.0,0.0,120972646.53747013
2019-06-30,-22981077.141043793,62292007.73915861,117825384.75719745,-22981077.141043793,-22981077.141043793,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,0.0,0.0,0.0,90451692.70015989
2019-12-31,-22293691.523717158,95010159.86160308,150613875.35494748,-22293691.523717158,-22293691.523717158,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,0.0,0.0,0.0,122236584.12131149
2020-06-30,-21613777.495138437,95177472.11429173,151424380.23702076,-21613777.495138437,-21613777.495138437,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,0.0,0.0,0.0,123319455.21162942
2020-12-31,-20926391.883634184,95255549.43229629,150640253.73504466,-20926391.883634184,-20926391.883634184,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,0.0,0.0,0.0,123178091.76293024
2021-06-30,-20250213.649425842,88018464.33566482,142996482.81091926,-20250213.649425842,-20250213.649425842,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,0.0,0.0,0.0,114872032.35350499
2021-12-31,-19562828.0376105,96954459.40689139,153939378.2123346,-19562828.0376105,-19562828.0376105,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,0.0,0.0,0.0,124925148.7353706
2022-06-30,-18886649.804895863,77504795.34150362,131681970.67866872,-18886649.804895863,-18886649.804895863,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,0.0,0.0,0.0,105731197.98502238
2022-12-31,-18199264.19435722,99653436.46383059,154051285.85851783,-18199264.19435722,-18199264.19435722,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,0.0,0.0,0.0,126430637.72448283
2023-06-30,-17523661.905977856,67357080.90438396,123862875.1146102,-17523661.905977856,-17523661.905977856,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,0.0,0.0,0.0,95909107.93511985
2023-12-31,-16836861.789614305,98275601.1995992,155592086.90079063,-16836861.789614305,-16836861.789614305,144530275.645053,144530275.645053,144530275.645053,144530275.645053,144530275.645053,144530275.645053,0.0,0.0,0.0,127693413.8554387
2024-06-30,-16157526.89190688,102064235.0437437,156376503.82693905,-16157526.89190688,-16157526.89190688,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,0.0,0.0,0.0,128775705.81480461
2024-12-31,-15470726.775543328,99316013.03374022,153128894.05598548,-15470726.775543328,-15470726.775543328,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,0.0,0.0,0.0,128633756.871003
