ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-30,20148783.236475043,14569094.783125442,18271485.2318178,20148783.236475043,20148783.236475043,-3602197.0215845257,-3602197.0215845257,-3602197.0215845257,-3602197.0215845257,-3602197.0215845257,-3602197.0215845257,0.0,0.0,0.0,16546586.214890517
2015-07-31,20172341.34031205,20673510.015519384,24550979.799049728,20172341.34031205,20172341.34031205,2429738.3587603397,2429738.3587603397,2429738.3587603397,2429738.3587603397,2429738.3587603397,2429738.3587603397,0.0,0.0,0.0,22602079.699072387
2015-08-31,20195899.44414906,19496295.32507411,23036092.361964285,20195899.44414906,20195899.44414906,1014895.333785934,1014895.333785934,1014895.333785934,1014895.333785934,1014895.333785934,1014895.333785934,0.0,0.0,0.0,21210794.77793499
2015-09-30,20218697.60915261,17792211.990011487,21524910.71015873,20218697.60915261,20218697.60915261,-418011.0005426707,-418011.0005426707,-418011.0005426707,-418011.0005426707,-418011.0005426707,-418011.0005426707,0.0,0.0,0.0,19800686.60860994
2015-10-31,20242255.712989617,17810721.536428906,21578061.298473127,20242255.712989617,20242255.712989617,-535686.5296629699,-535686.5296629699,-535686.5296629699,-535686.5296629699,-535686.5296629699,-535686.5296629699,0.0,0.0,0.0,19706569.183326647
2015-11-30,20265053.87636467,18404561.258643754,22048945.86807569,20265053.87636467,20265053.87636467,-79061.44189598695,-79061.44189598695,-79061.44189598695,-79061.44189598695,-79061.44189598695,-79061.44189598695,0.0,0.0,0.0,20185992.434468683
2015-12-31,20288611.978518892,19150507.42341681,22760698.835987978,20288611.978518892,20288611.978518892,595762.4298915787,595762.4298915787,595762.4298915787,595762.4298915787,595762.4298915787,595762.4298915787,0.0,0.0,0.0,20884374.40841047
2016-01-31,20312170.080673113,20291197.060623653,24127533.965392936,20312170.080673113,20312170.080673113,1851845.0580917276,1851845.0580917276,1851845.0580917276,1851845.0580917276,1851845.0580917276,1851845.0580917276,0.0,0.0,0.0,22164015.13876484
2016-02-29,20334208.305269,18285305.121027756,21965032.27564236,20334208.305269,20334208.305269,-290703.85150768585,-290703.85150768585,-290703.85150768585,-290703.85150768585,-290703.85150768585,-290703.85150768585,0.0,0.0,0.0,20043504.453761313
2016-03-31,20357766.40730589,18993730.575196058,22651525.71139761,20357766.40730589,20357766.40730589,528193.4837863843,528193.4837863843,528193.4837863843,528193.4837863843,528193.4837863843,528193.4837863843,0.0,0.0,0.0,20885959.891092274
